,easting,northing,xprev,yprev,xprevprev,yprevprev,JUL
1677,224402.42,7564122.42,226338.70,7553158.31,241193.72,7549255.83,210
1678,188027.95,7571976.21,224402.42,7564122.42,226338.70,7553158.31,211
1679,167776.81,7566848.71,188027.95,7571976.21,224402.42,7564122.42,212
1680,152485.27,7562945.75,167776.81,7566848.71,188027.95,7571976.21,213
1681,140320.87,7558373.77,152485.27,7562945.75,167776.81,7566848.71,214
1682,128131.77,7545750.80,140320.87,7558373.77,152485.27,7562945.75,215
1683,106026.75,7532945.61,128131.77,7545750.80,140320.87,7558373.77,216
1684,88888.36,7522004.13,106026.75,7532945.61,128131.77,7545750.80,217
1685,63234.67,7506327.92,88888.36,7522004.13,106026.75,7532945.61,218
1686,52168.32,7493644.22,63234.67,7506327.92,88888.36,7522004.13,219
1687,51224.41,7476367.41,52168.32,7493644.22,63234.67,7506327.92,220
1688,59737.19,7455907.20,51224.41,7476367.41,52168.32,7493644.22,221
1689,69106.07,7446288.30,59737.19,7455907.20,51224.41,7476367.41,222
1690,81318.99,7440881.40,69106.07,7446288.30,59737.19,7455907.20,223
1691,74910.51,7439169.29,81318.99,7440881.40,69106.07,7446288.30,224
1692,59678.81,7443302.31,74910.51,7439169.29,81318.99,7440881.40,225
1693,47580.25,7446808.88,59678.81,7443302.31,74910.51,7439169.29,226
1694,33532.39,7444778.07,47580.25,7446808.88,59678.81,7443302.31,227
1695,31440.97,7438447.20,33532.39,7444778.07,47580.25,7446808.88,228
1696,39457.38,7431841.12,31440.97,7438447.20,33532.39,7444778.07,229
1697,39427.66,7427881.26,39457.38,7431841.12,31440.97,7438447.20,230
1698,48664.07,7429396.79,39427.66,7427881.26,39457.38,7431841.12,231
1699,48664.07,7429396.79,48664.07,7429396.79,39427.66,7427881.26,231
1701,78398.02,7423535.58,67097.46,7425814.27,48664.07,7429396.79,233
1702,97114.02,7432140.04,78398.02,7423535.58,67097.46,7425814.27,234
1703,111793.02,7440732.99,97114.02,7432140.04,78398.02,7423535.58,235
1704,122181.12,7441974.05,111793.02,7440732.99,97114.02,7432140.04,236
1708,205167.49,7445918.59,212798.81,7443496.71,212584.99,7443584.99,248
1709,207651.33,7447692.78,205167.49,7445918.59,212798.81,7443496.71,249
1710,205745.06,7449537.83,207651.33,7447692.78,205167.49,7445918.59,250
1711,207848.46,7447488.34,205745.06,7449537.83,207651.33,7447692.78,251
